Peyton Manning	QB	QB	23
Le'Veon Bell	RB	RB	14
Andre Ellington	RB	RB	12
Randall Cobb	WR	WR	18
Julian Edelman	WR	WR	1
Antonio Gates	TE	TE	17
Jerick McKinnon	RB	FLEX	8
Cowboys D/ST	D/ST	D/ST	2
Chandler Catanzaro	K	K	6
Martellus Bennett	TE	BE	15
Jordan Matthews	WR	BE	4
Andrew Hawkins	WR	BE	14
Broncos D/ST	D/ST	BE	6
Ronnie Hillman	RB	BE	12
Malcom Floyd	WR	BE	5
Dwayne Bowe	WR	BE	6
