Peyton Manning	QB	QB	22
Le’Veon Bell	RB	RB	24
Jonathan Dwyer	RB	RB	2
James Jones	WR	WR	9
Donnie Avery	WR	WR	8
Martellus Bennet	TE	TE	13
Steven Jackson	RB	FLEX	5
Panthers D/ST	D/ST	D/ST	12
Mason Crosby	K	K	4
Randall Cobb	WR	BE	11
Andre Ellington	RB	BE	5
Julian Edelman	WR	BE	11
Cecil Shorts III	WR	BE	0
Mike Evans	WR	BE	3
Bernard Pierce	RB	BE	-1
Antonio Gates	TE	BE	8
