Peyton Manning	QB	QB	31
Le'Veon Bell	RB	RB	11
Andre Ellington	RB	RB	26
Randall Cobb	WR	WR	9
Julian Edelman	WR	WR	3
Martellus Bennett	TE	TE	1
Antonio Gates	TE	FLEX	18
Broncos D/ST	D/ST	D/ST	5
Shaun Suisham	K	K	5
Panthers D/ST	D/ST	BE	18
Marvin Jones	WR	BE	0
Donald Brown	RB	BE	2
Jordan Matthews	WR	BE	3
Lorenzo Taliaferro	RB	BE	1
Andrew Hawkins	WR	BE	2
Jerick McKinnon	RB	BE	4
