Peyton Manning	QB	QB	21
Le'Veon Bell	RB	RB	9
Andre Ellington	RB	RB	10
Randall Cobb	WR	WR	17
Andrew Hawkins	WR	WR	7
Martellus Bennett	TE	TE	9
Julian Edelman	WR	FLEX	14
Panthers D/ST	D/ST	D/ST	13
Mason Crosby	K	K	13
Cecil Shorts III	WR	BE	0
Mike Evans	WR	BE	4
Bernard Pierce	RB	BE	9
Antonio Gates	TE	BE	27
Jonathan Dwyer	RB	BE	9
Marvin Jones	WR	BE	0
Malcom Floyd	WR	BE	0
