Peyton Manning	QB	QB	20
Le'Veon Bell	RB	RB	15
Andre Ellington	RB	RB	7
Randall Cobb	WR	WR	2
Julian Edelman	WR	WR	8
Martellus Bennett	TE	TE	17
Antonio Gates	TE	FLEX	0
Panthers D/ST	D/ST	D/ST	-7
Mason Crosby	K	K	1
Cecil Shorts III	WR	BE	9
Bernard Pierce	RB	BE	0
Marvin Jones	WR	BE	0
Mohamed Sanu	WR	BE	8
Bobby Rainey	RB	BE	6
Donald Brown	RB	BE	8
Alfred Blue	RB	BE	8
