Aaron Rodgers	QB	QB	25
Antone Smith	RB	RB	12
Ahmad Bradshaw	RB	RB	11
Vincent Jackson	WR	WR	6
Mohamed Sanu	WR	WR	18
Rob Gronkowski	TE	TE	9
T.Y. Hilton	WR	FLEX	28
Patriots D/ST	D/ST	D/ST	11
Adam Vinatieri	K	K	9
Doug Martin	RB	BE	4
Larry Fitzgerald	WR	BE	15
Jeremy Hill	RB	BE	9
Robbie Gould	K	BE	7
Jared Cook	TE	BE	7
Devin Hester	WR	BE	2
Bobby Rainey	RB	BE	4
