Ryan Mallett	QB	QB	11
Isaiah Crowell	RB	RB	3
Dion Lewis	RB	RB	17
Julio Jones	WR	WR	40
Donte Moncrief	WR	WR	13
Jimmy Graham	TE	TE	21
John Brown	WR	FLEX	9
Bills D/ST	D/ST	D/ST	14
Josh Scobee	K	K	7
C.J. Anderson	RB	BE	2
Melvin Gordon	RB	BE	5
Todd Gurley	RB	BE	1
Nelson Agholor	WR	BE	0
Andre Williams	RB	BE	8
David Johnson	RB	BE	6
Tyler Lockett	WR	BE	6
