Matthew Stafford	QB	QB	3
Ahmad Bradshaw	RB	RB	13
Matt Asiata	RB	RB	6
Emmanuel Sanders	WR	WR	14
Brian Quick	WR	WR	12
Julius Thomas	TE	TE	7
Travis Kelce	TE	FLEX	9
Seahawks D/ST	D/ST	D/ST	5
Stephen Gostkowski	K	K	10
Eddie Lacy	RB	BE	1
Terrance Williams	WR	BE	9
Fred Jackson	RB	BE	16
Delanie Walker	TE	BE	5
Justin Hunter	WR	BE	3
Blair Walsh	K	BE	10
James Jones	WR	BE	4
