Matt Ryan	QB	QB	14
Eddie Lacy	RB	RB	10
Duke Johnson Jr.	RB	RB	26
A.J. Green	WR	WR	15
Emmanuel Sanders	WR	WR	9
Zach Ertz	TE	TE	3
Jeremy Maclin	WR	FLEX	25
Ravens D/ST	D/ST	D/ST	6
Matt Bryant	K	K	6
Julian Edelman	WR	BE	0
Rashad Jennings	RB	BE	16
Dwayne Allen	TE	BE	0
Marques Colston	WR	BE	5
DeVante Parker	WR	BE	0
Ronnie Hillman	RB	BE	17
