Matt Ryan	QB	QB	22
Rashad Jennings	RB	RB	8
Ronnie Hillman	RB	RB	8
A.J. Green	WR	WR	44
Emmanuel Sanders	WR	WR	14
Zach Ertz	TE	TE	5
Julian Edelman	WR	FLEX	16
Ravens D/ST	D/ST	D/ST	6
Matt Bryant	K	K	7
Eddie Lacy	RB	BE	11
Jeremy Maclin	WR	BE	28
Dwayne Allen	TE	BE	0
Marques Colston	WR	BE	8
Duke Johnson Jr.	RB	BE	9
DeVante Parker	WR	BE	7
