Matt Ryan	QB	QB	18
Eddie Lacy	RB	RB	0
Rashad Jennings	RB	RB	4
A.J. Green	WR	WR	13
Emmanuel Sanders	WR	WR	28
Zach Ertz	TE	TE	4
Julian Edelman	WR	FLEX	33
Ravens D/ST	D/ST	D/ST	-3
Matt Bryant	K	K	7
Jeremy Maclin	WR	BE	9
Dwayne Allen	TE	BE	0
Marques Colston	WR	BE	10
Duke Johnson Jr.	RB	BE	4
DeVante Parker	WR	BE	1
Ronnie Hillman	RB	BE	3
