Eli Manning	QB	QB	7
Frank Gore	RB	RB	5
Chris Ivory	RB	RB	22
Demaryius Thomas	WR	WR	13
Dez Bryant	WR	WR	9
Delanie Walker	TE	TE	13
Kendall Wright	WR	FLEX	20
Browns D/ST	D/ST	D/ST	1
Matt Prater	K	K	4
Joseph Randle	RB	BE	13
Ryan Mathews	RB	BE	11
Brian Quick	WR	BE	0
Victor Cruz	WR	BE	0
Branden Oliver	RB	BE	2
Roy Helu	RB	BE	0
Christine Michael	RB	BE	0
