Russell Wilson	QB	QB	12
Lamar Miller	RB	RB	9
Giovani Bernard	RB	RB	10
Demaryius Thomas	WR	WR	10
Mike Wallace	WR	WR	5
Jimmy Graham	TE	TE	11
Justin Forsett	RB	FLEX	9
Chiefs D/ST	D/ST	D/ST	20
Justin Tucker	K	K	15
Keenan Allen	WR	BE	13
Rashad Jennings	RB	BE	0
49ers D/ST	D/ST	BE	0
James Starks	RB	BE	0
Odell Beckham Jr.	WR	BE	0
Reggie Wayne	WR	BE	0
Denard Robinson	RB	BE	11
