Jay Cutler	QB	QB	17
Marshawn Lynch	RB	RB	24
DeMarco Murray	RB	RB	17
Antonio Brown	WR	WR	17
Victor Cruz	WR	WR	2
Jermaine Gresham	TE	TE	1
Torrey Smith	WR	FLEX	5
Lions D/ST	D/ST	D/ST	10
Greg Zuerlein	K	K	8
Cordarrelle Patterson	WR	BE	18
Dennis Pitta	TE	BE	8
Maurice Jones-Drew	RB	BE	2
Knowshon Moreno	RB	BE	19
Hakeem Nicks	WR	BE	9
Knile Davis	RB	BE	0
Brandin Cooks	WR	BE	14
